token_id,count,is_dominant
347,316,False
4821,316,False
3187,315,False
3675,315,False
6521,315,False
4215,315,False
6830,315,False
5476,315,False
2957,314,False
6428,314,False
2751,314,False
6116,314,False
1063,313,False
8166,313,False
1794,313,False
3510,312,False
2529,311,False
2430,311,False
970,310,False
4043,310,False
7485,310,False
47,309,False
6744,309,False
1418,309,False
541,309,False
6491,309,False
4021,308,False
6376,308,False
3011,308,False
4774,307,False
5555,307,False
5101,307,False
1440,306,False
368,306,False
4293,305,False
7391,305,False
2469,305,False
5570,305,False
7028,305,False
3536,304,False
2299,304,False
5509,303,False
932,303,False
7408,302,False
3500,302,False
7828,302,False
2094,302,False
244,301,False
4811,301,False
1391,301,False
1367,301,False
2136,301,False
3466,301,False
7410,300,False
3099,300,False
4189,300,False
3625,299,False
688,298,False
6964,298,False
33,297,False
7750,297,False
7876,297,False
4977,297,False
6378,297,False
2685,296,False
927,296,False
254,296,False
1509,295,False
388,294,False
2876,293,False
7599,292,False
1252,292,False
5913,292,False
1356,292,False
5527,292,False
2890,291,False
1541,291,False
591,291,False
6623,290,False
5063,290,False
5686,290,False
6903,290,False
2482,290,False
2133,290,True
2486,289,False
1755,288,False
6222,288,False
4286,288,False
2476,287,False
6995,287,False
4597,286,False
7470,286,False
3093,286,False
2708,285,False
1525,285,False
3478,284,False
4278,284,False
3204,284,False
1679,284,False
1877,284,False
196,283,False
2198,283,False
7043,283,False
804,282,False
3243,282,False
7273,282,False
1384,281,False
3299,281,False
4193,280,False
3631,280,False
1089,279,False
3708,279,False
8000,279,False
4961,279,False
2699,279,False
4417,278,False
734,278,False
13,277,False
6221,277,False
6828,276,False
7389,276,False
4666,276,False
1932,276,False
1848,276,False
5259,276,False
5386,275,False
6509,275,False
6705,275,False
5106,275,False
7353,275,False
2375,274,False
5499,274,False
7261,274,False
8162,274,False
4685,274,False
3545,273,False
2709,273,False
5732,273,False
2770,273,False
5671,272,False
2144,272,False
4427,272,False
7721,272,False
4194,272,False
2768,272,False
650,271,False
5383,271,False
586,270,False
257,270,False
1094,270,False
1375,270,False
7459,270,False
69,270,False
5524,270,False
6393,269,False
3114,269,False
3555,269,False
2221,268,False
2774,268,False
3153,268,False
914,268,False
6430,268,False
5629,268,False
3472,267,False
5600,267,False
5007,267,False
617,264,False
8049,264,False
1761,263,False
3896,263,False
3055,263,False
6677,262,False
1840,262,False
2255,262,False
7824,262,False
4351,262,False
2542,262,False
510,261,False
7269,261,False
5477,261,False
2448,261,False
6841,261,False
7628,261,False
8037,260,False
831,260,False
2330,260,False
5701,260,False
5507,260,False
3986,259,False
7732,259,False
7963,259,False
2320,259,False
4243,259,False
2840,259,False
6801,257,False
3628,257,False
1975,257,False
2502,257,False
965,257,False
6563,257,False
2451,257,False
1544,256,False
2931,256,False
4398,256,False
3260,256,False
7875,255,False
4587,255,False
7941,255,False
6173,255,False
8076,254,False
1494,253,False
1479,253,False
3374,252,False
1554,252,False
4486,252,False
4637,252,False
3358,252,False
4155,252,False
4052,251,False
5532,251,False
2577,251,False
3029,251,False
6691,251,False
6650,251,False
550,251,False
2009,250,False
3482,250,False
7503,249,False
5754,249,False
102,249,False
1602,248,False
7482,248,False
685,248,False
6622,247,False
6842,247,False
2572,247,False
3849,247,False
5891,246,False
5673,246,False
5409,246,False
7005,246,False
7766,245,False
76,245,False
4979,245,False
872,245,False
4877,244,False
3151,244,False
6791,243,False
3951,243,False
4777,243,False
6871,243,False
7908,242,False
2527,242,False
851,242,False
2250,242,False
5405,242,False
1941,242,False
5854,242,False
7651,242,False
6011,241,False
2228,241,False
603,241,False
949,241,False
4439,240,False
7959,240,False
5873,240,False
1320,240,False
5635,239,False
322,239,False
4184,239,False
726,239,False
4190,239,False
1772,238,False
5388,238,False
4538,238,False
6420,238,False
7411,237,False
612,237,False
900,237,False
879,237,False
5253,236,False
2200,236,False
7334,236,False
2684,236,False
7657,236,False
3208,236,False
5301,236,False
2997,236,False
2101,235,False
7352,235,False
7243,235,False
4037,235,False
7367,235,False
735,235,False
482,234,False
7510,234,False
1631,234,False
1593,233,False
2998,233,False
182,233,False
5461,233,False
7038,232,False
6293,232,False
1194,232,False
2885,232,False
8061,232,False
1672,231,False
3801,231,False
7937,231,False
7962,231,False
2537,231,False
5946,231,False
2237,231,False
4336,230,False
7188,230,False
3584,230,False
1824,230,False
3978,230,False
773,229,False
3356,229,False
1417,228,False
4715,228,False
6754,228,False
3621,228,False
5226,228,False
4849,226,False
2012,226,False
5129,226,False
4447,225,False
988,225,False
6868,225,False
1126,225,False
1464,225,False
3684,225,False
4419,225,False
6615,224,False
7859,224,False
11,224,False
2093,224,False
4282,224,False
873,223,False
7954,223,False
7397,223,True
5249,223,False
3742,223,False
4468,223,False
3550,222,False
7419,222,False
4425,222,False
7627,222,False
1543,221,False
22,221,False
4629,221,False
6117,221,False
4466,221,False
1480,220,False
45,220,False
1098,220,False
933,220,False
487,220,False
4622,220,False
5661,220,False
4478,220,False
931,220,False
7709,219,False
3326,219,False
5177,219,False
4998,219,False
2965,219,False
6183,219,False
1189,218,False
1515,218,False
1132,218,False
7266,218,False
7409,217,False
3120,216,False
5367,216,False
5490,216,False
679,216,False
5170,215,False
6772,215,False
6610,215,False
6620,215,False
978,215,False
5450,215,False
7929,215,False
3032,215,False
3295,215,False
6424,215,False
2562,215,False
3131,214,False
588,214,False
4271,214,False
966,214,False
5992,214,False
5299,214,False
3220,213,False
4914,213,False
154,213,False
4333,213,False
926,212,False
7845,212,False
2835,212,False
3518,211,False
354,211,False
4928,211,False
1038,211,False
4633,211,False
6409,211,False
1785,211,False
6973,211,False
6375,211,False
468,211,False
4573,211,False
7327,211,False
7065,211,False
1034,210,False
1239,210,False
3199,210,False
6547,210,False
973,210,False
6394,210,False
4392,210,False
6003,210,False
5000,210,False
5120,210,False
4095,209,False
7324,209,False
2275,209,False
7743,209,False
4365,208,False
1979,208,False
4742,208,False
7260,207,False
2960,207,False
4498,207,False
4861,207,False
7303,207,False
6208,207,False
2846,206,False
6485,206,False
3769,206,False
3335,206,False
5118,206,False
4016,206,False
532,205,False
5708,205,False
6853,205,False
7999,205,False
566,205,False
6764,205,False
3414,205,False
418,205,False
6236,205,False
7666,205,False
3618,204,False
2085,204,False
4950,204,False
7764,204,False
5082,203,False
394,203,False
5302,203,False
2186,203,False
3177,203,False
6784,202,False
2970,202,False
2070,202,False
7146,202,False
4429,202,False
4522,202,False
7014,202,False
3795,202,False
1147,201,False
7465,201,False
833,201,False
6789,201,False
1133,201,False
4045,201,False
6602,201,False
4527,201,False
739,201,False
3433,200,False
3627,200,False
1445,200,False
6285,200,False
1277,200,False
6530,200,False
4762,199,False
4356,199,False
5860,199,False
8059,199,False
4254,199,False
497,198,False
2817,198,False
6344,197,False
5640,197,False
5632,197,False
3096,197,False
4546,197,False
5193,197,False
7586,196,False
4443,196,False
6100,196,False
477,196,False
6096,196,False
1802,195,False
1830,195,False
3832,195,False
7138,194,False
1350,194,False
5788,194,False
101,194,False
7335,194,False
1516,193,False
1591,193,False
126,193,False
7025,193,False
3904,193,False
976,193,False
546,193,False
4918,193,True
3661,193,False
320,192,False
464,192,False
6023,192,False
484,192,False
7739,192,False
7768,192,False
6849,192,False
2349,192,False
4499,192,False
5421,192,False
1124,192,False
2989,191,False
856,191,False
3835,191,False
1347,190,False
5277,190,False
7496,190,False
5599,190,False
8112,190,False
189,190,False
4996,190,False
3437,190,False
499,190,False
4548,190,False
6541,189,False
5650,189,False
1248,189,False
2293,189,False
5171,188,False
6536,188,False
6645,188,False
5636,188,False
4055,188,False
375,188,False
7759,188,False
1078,188,False
5627,188,False
6193,187,False
732,187,False
1179,187,False
7150,187,False
7568,187,False
5520,187,False
558,187,False
4108,187,False
3727,186,False
1088,186,False
6757,186,False
6446,186,False
4978,186,False
3125,185,False
6373,185,False
1549,185,False
901,185,False
3195,185,False
7241,185,False
3936,185,False
3640,185,False
2640,184,False
1069,184,False
2281,184,False
6512,184,False
6197,184,False
10,184,False
213,184,False
7182,183,False
4316,183,False
7753,183,False
5075,183,False
3565,183,False
5620,183,False
4122,182,False
2417,182,False
2550,182,False
1388,182,False
3050,182,False
1640,182,False
3838,181,False
3722,181,False
8136,181,False
5982,181,False
6029,181,False
1015,181,False
2325,180,False
8150,180,False
2943,180,False
6318,180,False
5009,180,False
3196,180,False
543,179,False
3094,179,False
7499,179,False
458,179,False
1355,179,False
3128,179,False
651,179,False
6955,179,False
4386,178,False
3817,178,False
3432,178,False
1730,178,False
1273,178,False
1242,178,False
1429,178,False
2700,177,False
2651,177,False
1351,177,False
2445,177,False
5100,177,False
6553,177,False
1472,177,False
2342,177,False
5472,177,False
7781,177,False
3489,176,False
7481,176,False
1822,176,False
4497,176,False
5971,176,False
7081,175,False
7390,175,False
78,175,False
7969,175,False
5529,175,False
2746,175,False
4085,175,False
6812,174,False
5896,174,False
2317,174,False
7085,174,False
3282,174,False
7219,174,False
5609,173,False
2983,173,False
3429,173,False
7834,173,False
1513,173,False
3373,173,False
4807,172,False
7542,172,False
7155,172,False
6242,172,False
7364,172,False
4034,172,False
3259,172,False
3198,172,False
6726,172,False
3888,172,False
7276,172,False
1499,171,False
4196,171,False
5932,171,False
3582,171,False
626,171,False
1922,170,False
2547,170,False
7416,170,False
5945,170,False
4364,169,False
5308,169,False
3025,169,False
3543,169,False
6357,169,False
6372,168,False
3416,168,False
4700,168,False
4390,168,False
1958,168,False
5278,168,False
4225,168,False
434,167,False
7412,167,False
7829,166,False
8008,166,False
6292,166,False
381,166,False
200,166,False
2630,166,False
4980,165,False
2754,165,False
2437,165,False
1995,165,False
3900,165,False
1947,165,False
4667,165,False
2510,165,False
7045,165,False
2973,165,False
3360,165,False
4517,165,False
8190,165,False
4474,165,False
4476,165,False
5938,165,False
4378,165,False
7648,165,False
7663,164,False
745,164,False
859,164,False
784,164,False
4572,164,False
3447,164,False
3865,164,False
5298,164,False
2423,164,False
7434,164,False
2999,164,False
4908,163,False
7683,163,False
5881,163,False
3323,163,False
7370,163,False
339,163,False
6658,163,False
2613,163,False
2927,163,False
1209,163,False
3892,162,False
6680,162,False
3702,162,False
5152,162,False
6673,162,False
561,162,False
6840,162,False
3734,162,False
624,161,False
6668,161,False
2504,161,False
3348,161,False
706,160,False
7275,160,False
5412,160,False
5806,160,False
2102,160,False
1860,160,False
2113,160,False
1101,160,False
6395,160,False
4230,160,False
4654,159,False
4141,159,False
3287,159,False
3215,159,False
3476,159,False
2084,159,False
296,158,False
5563,158,False
1949,158,False
3484,158,False
5186,158,False
769,158,False
2573,158,False
1236,158,False
5844,158,False
1777,158,False
6570,157,False
876,157,False
3404,157,False
2033,157,False
518,157,False
1539,157,False
7145,157,False
812,157,False
795,157,False
1103,157,False
4555,156,False
1324,156,False
2110,156,False
310,156,False
3223,156,False
5104,156,False
6798,156,False
994,156,False
1482,156,False
3881,156,False
279,155,False
513,155,False
3,155,False
4944,155,False
4846,155,False
2087,155,False
1790,155,False
7358,154,False
8170,154,False
3763,154,False
2291,154,False
4176,154,False
6758,154,False
1711,154,False
6578,154,False
5995,154,False
2035,154,False
109,154,False
2963,154,False
6833,154,False
3112,153,False
2384,153,False
2334,153,False
835,153,False
183,153,False
4423,153,False
5202,152,False
61,152,False
336,152,False
2184,152,False
5557,152,False
1705,152,False
2361,152,False
3674,152,False
6377,152,False
2335,151,False
1174,151,False
1461,151,False
4372,151,False
3802,151,False
5960,150,False
6274,150,False
3397,150,False
1991,150,False
5814,150,False
6215,150,False
8095,150,False
3514,150,False
8087,150,False
2913,149,False
3842,149,False
7251,149,False
6345,149,False
6728,149,False
5915,149,False
3105,149,False
498,148,False
2340,148,False
6940,148,False
4402,148,False
4651,148,False
6131,147,False
2303,147,False
304,147,False
3789,147,False
5593,147,False
1307,147,False
7076,147,False
5364,146,False
1807,146,False
5795,146,False
893,146,False
3654,146,False
7846,146,False
7716,146,False
4791,146,False
6704,146,False
7749,146,False
7621,145,False
1339,145,False
